company,title,description
Talos IO,Natural Language Generation Developer,"Talos IO was originally founded to help the US Government combat violent extremism on social media. As we've grown the scope and scale of our work, we've learned that most organizations, both in the public and private sector, have yet to fully realize the speed and scale at which they can broadcast their narratives on social media platforms.  We are looking for a developer to join a dedicated team of two co-Founders in improving upon an existing Natural Language Generation platform. Initially, this position lead the next generation development of our platform. As Talos grows, our lead developer will play an integral part in attracting talent and building a tech team to meet the objectives of our Technology Roadmap.  Talos is seeking someone who is passionate about our mission and likes working in a flat and fast-paced environment. We emphasize radical honesty and open lines of communication. We want someone with the skills, the passion, and the desire to make an impact - regardless of education or experience."
Ometrics,Natural Language Processing Specialist,"Compensation: Hourly, part time or full time Ometrics is hiring a Natural Language Processing Specialist (NLP) to build AI chatbots for clients. No NLP experience is required. We will provide all the training needed. This is a great opportunity for a motivated and inquisitive person. You: You enjoy word puzzles. Words and the different ways to say and spell fascinates you. The games you play are more logic based like Chess or Go compared to games of chance. Sometimes when working on a problem time stands still… You see patterns when looking at data of user behavior and can see the user’s intention. You often think from someone else’s perspective or point of view. If you are interested in learning more, Contact Us"
Facebook,"Applied Research Scientist, Natural Language Processing","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.  Facebook is seeking an Applied Research Scientist to join our Language and Translation Technologies Team in Menlo Park. This team is part of the Applied Machine Learning organization within Facebook, working to unlock the meaning of language across all languages used on Facebook. In pursuit of this mission, the team has been working on creating Natural Language Processing (NLP) platforms that are used to build and deliver AI applications to more than 2 billion people that use Facebook every month. This journey is only 1% finished, and we are looking for candidates interested in extending our capabilities on cross-lingual NLP and enabling novel NLP technologies. The ideal candidate will have a strong background in developing NLP systems, a strong knowledge of ML and neural networks, and have experience working with massive amounts of data. They should also have strong software engineering skills and the ability to build systems that reach Facebook scale.  Conduct research to advance the state of the art in neural networks and NLP. Utilize that research to develop and deploy scalable neural network models into production to impact billions of people using Facebook. Collaborate with team members from other research and applied research teams working on a variety of deep learning and NLP problems.  PhD/MS with relevant experience in the fields of Natural Language Processing, Machine Learning or Deep Learning. 3+ years of experience in building large-scale Natural Language Processing systems from researching a prototype to production. Experience with developing and training neural network models. Experience in C++ and Python.  Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
Facebook,"Research Scientist, Natural Language Processing (PhD)","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.  Billions of people use our services to connect and communicate in their preferred language, but many of these languages lack traditional NLP resources and our systems need to be robust to the informal tone, slang and typos often found in daily communication. Our research spans multiple areas across NLP and machine learning, including deep learning/neural networks, machine translation, natural language understanding and generation, low-resource NLP, question answering, dialogue, and cross-lingual and cross-domain transfer learning.We are seeking world-class natural language processing experts to join our teams in developing next generation products and platforms, conducting and publishing research, and engineering at scale. We're applying cutting-edge language technologies to a wide range of media understanding challenges at Facebook.  Conduct research to advance the state of the art in neural networks and NLP. Utilize that research to develop and deploy scalable neural network models into production to impact billions of people using Facebook. Collaborate with team members from other research and applied research teams working on a variety of deep learning and NLP problems.  Currently has, or is in the process of obtaining, a PhD degree or postdoctoral assignment in Natural Language Processing, or a related field Experience with developing modern NLP systems Proven track record of achieving results as demonstrated by grants, fellowships, patents, as well as publications at workshops or conferences such as ACL, EMNLP, NAACL, AAAI, ICML, NeurIPS, or similar Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment  Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
U.S. Department of Defense (DOD),Social Network Analysts: Natural Language Processing,"Organization U.S. Department of Defense (DOD) Reference Code NGA-VSP-2020-0003 How to Apply Components of the online application are as follows: Profile Information Educational and Employment History Essay Questions (goals, experiences, and skills relevant to the opportunity) Resume (PDF) Transcripts/Academic Records - For this opportunity, an unofficial transcript or copy of the student academic records printed by the applicant or by academic advisors from internal institution systems may be submitted. 2 Recommendation(s) Submitted documents must have all social security numbers, student identification numbers, and/or dates of birth removed (blanked out, blackened out, made illegible, etc.) prior to uploading into the application system. If you have questions, send an email to orisedod@orise.orau.gov. Please list the reference code of this opportunity in the subject line of the email. All documents must be in English or include an official English translation. References should be from persons familiar with your educational and professional qualifications (include your thesis or dissertation advisor, if applicable). Personal references are NOT acceptable. Description Candidates may work in the Springfield VA or St Louis, MO locations upon completion of security clearance investigation. The National Geospatial-Intelligence Agency (NGA) delivers world-class geospatial intelligence that provides a decisive advantage to policymakers, warfighters, intelligence professionals and first responders. Anyone who sails a U.S. ship, flies a U.S. aircraft, makes national policy decisions, fights wars, locates, targets, responds to natural disasters, or even navigates with a cellphone relies on NGA. NGA enables all of these critical actions and shapes decisions that impact our world through the indispensable discipline of geospatial intelligence (GEOINT). NGA’s Research directorate – Predictive Analysis Pod – Encompasses techniques from data mining, predictive modeling, and machine learning that analyze current and historical facts to make predictions about future or other unknown events. Sometimes the event is in the future, but predictive analytics can be applied to any type of unknown – past, present or future. The candidate will apply technical skillsets and expertise to national security topics to further use of event detection and sentiment analysis. Appointment Length This appointment is a twelve month research appointment, with the possibility to be renewed for additional research periods. Appointments may be extended depending on funding availability, project assignment, program rules, and availability of the participant. Participant Benefits Participants will receive a stipend to be determined by NGA. Stipends are typically based on the participant’s academic standing, discipline, experience, and research facility location. Other benefits may include the following: Health Insurance Supplement. Participants are eligible to purchase health insurance through ORISE. Relocation Allowance Training and Travel Allowance Nature of Appointment The participant will not enter into an employee/employer relationship with ORISE, ORAU, DOD, or any other office or agency. Instead, the participant will be affiliated with ORISE for the administration of the appointment through the ORISE appointment letter and Terms of Appointment.  Qualifications PhD or postdoc with the following experience highly preferred: Social Network Analysis: neural networks, natural language understanding and machine learning, Natural Language Processing techniques such as transformer networks, graph embeddings, low-shot learning, or weak supervision are required. Experience with the standard libraries for deep-learning NLP, such as Keras, PyTorch, and Tensorflow, are required. Specific foreign language and cultural expertise is highly desired. Proficiency in python through coursework and shared scripts is required. Experience with geospatial analysis is a plus. Candidates with relevant experience will be considered with ABD status, postdoctoral or later-career. This work requires Top Secret security clearance A background check will be conducted for an SCI security clearance. Completion of Questionnaire for National Security Positions is required. Eligibility Requirements Citizenship: U.S. Citizen Only Degree: Doctoral Degree received within the last 60 months or currently pursuing. Discipline(s): Computer Sciences Earth and Geosciences Engineering Life Health and Medical Sciences Mathematics and Statistics Nanotechnology Other Physical Sciences Physics Social and Behavioral Sciences"
"Oncology Analytics, Inc.",Natural Language Processing (NLP) Software Engineer,"Howwould you like to be on the cutting edge of technology and use your Natural Language Processing (NLP) skills? Are you interested in thedesign, implementation, and extraction of unstructured text data? We arelooking for talent with NLP, data analysis management skills, and system development. If you are ready for a new challenging career, we welcome you to considerOncology Analytics! At Oncology Analytics, we take the principle of puttingpatients first. It is our founding ethos and has contributed to oursuccess through two rounds of funding from some of the most well-known equitypartners in the healthcare space. We are poised for growth and arelooking for smart, engaged, and innovative technology talent to move usforward.  Moreabout the role:   You will need work in a team environment to determine optimal NLP/ML  algorithms to use for information extraction/classification. We need you to determine and implement optimal algorithms from NLP tasks. Show us how to analyze textual data derived from OCR and extract markup metadata. You’ll be performing statistical analyses of system results and refining models. We have a lot of ML libraries, and we will need you to maintain it.  Whatwe are looking for:  Someone with strong programming skills in Python, C++, or Java. Experience with NLP, including regular expressions and toolkits such as NLTK and Core NLP. Experience with ML libraries such as scikit-learn and Keras. You will need strong analytic and problem-solving abilities. Experience with Agile software development. Bachelor’s degree in Computer Science.   Compensation/Benefits:  Attractive compensation package, including a competitive base, bonus incentives, and company equity Full benefits package starting day 1  Social Activities and community events with your peers Career growth with an industry innovator"
Semantic Arts,Ontologist,"This is a FULL-TIME, permanent, remote position!There is additional compensation to the pay range listed.Responsibilities:An Ontologist is the primary developer of the ontology. Typically one Ontologist will take on a sub domain of the overall ontology project, and will work with existing design artifacts and subject matter experts to convert models to formal semantic expressions. Fluency in OWL2, RDF, SPARQL, and the ability to program against triplestores and/or knowledge graphs preferred.Experience:An Ontologist must be trained in ontological development, either through formal training or on-the-job development. Should have experience in data modeling or related analytical skills and be able to interact with data modeling professionals. Individuals with backgrounds in library science, artificial intelligence and machine learning have been successful in this job. A combination of education and experience will be considered.Education:Bachelor’s degree in Computer Science, Information Systems, Engineering or Business. Advanced academic degree preferred.Job Type: Full-timePay: $50.00 - $100.00 per hourBenefits:Dental InsuranceFlexible ScheduleHealth InsuranceVision InsuranceSchedule:Day ShiftExperience:Ontology: 3 years (Preferred)Education:Bachelor's (Required)Additional Compensation:Other formsWork Location:Fully RemoteBenefit Conditions:Only full-time employees eligibleWork Remotely:Yes"
Agolo,Natural Language Processing Engineer,"Do you have a passion for the latest advances in Natural Language Processing? Are you looking for an energizing environment to hone your research, system design, and software engineering abilities? Do you want to build products that directly affect users?  We are seeking a motivated Natural Language Processing Engineer to join our team. We are an international team of engineers and scientists with offices in New York City and Cairo. We have a diverse set of skills among our talented and professional team members, and we'd like you to contribute your abilities.  You would help us improve and scale our state-of-the-art text summarization, document-clustering, and information extraction platform. Here are some examples of projects you may own: using relation extraction to detect discourse structure, tracking topics in hundred-page documents, or producing abstractive summaries for a high throughput of news articles in milliseconds.  What you'll do day-to-day: Find solutions to hard NLP tasks by improving upon the latest academic literature, guiding the technical direction of our products Prototype and rapidly evaluate creative ideas to gain insight into their strengths and weaknesses Plan projects using Agile practices and design experiments using sound scientific methodologies Write high-quality code in Python and Java using many open-source frameworks and libraries Collaborate with engineers to build high-performance NLP Deep Learning pipelines What you'll bring: A track record of results in NLP and Deep Learning, preferably on GitHub Your coding skills to produce efficient, maintainable code quickly Your capacity to simplify and explain complex technical concepts verbally and in writing Your enthusiasm for solving problems with a team of engineers and scientists, as well as individually Your ability to adapt to changing requirements and re-prioritize with minimal supervision Your interest in publishing academic papers and keeping up to date on ground breaking published work"
Facebook,"Research Intern, Applied Research - Natural Language Processing","Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.  Facebook is seeking Research Interns to join our Natural Language Processing teams in Menlo Park, California, Redmond, Washington, and Seattle, Washington. These teams are part of the Facebook AI Applied Research and Messenger Assistant organizations within Facebook, working to advance the state of the art in natural language understanding and generation, and deploys these systems at scale to break down language barriers, enable people to understand and communicate with anyone, and to provide a safe experience—no matter what language they speak.The opportunities and challenges of this work are immense. Billions of people use our services to connect and communicate in their preferred language, but many of these languages lack traditional NLP resources and our systems need to be robust to the informal tone, slang and typos often found in daily communication.Our research spans multiple areas across NLP and machine learning, including deep learning/neural networks, machine translation, natural language understanding and generation, low-resource NLP, question answering, dialogue, and cross-lingual and cross-domain transfer learning.As a Research Intern, you will help us apply cutting-edge NLP algorithms to a wide range of media understanding challenges at Facebook. The duration of this internship is 16 weeks with Summer, Fall, and Winter start dates. Internships will be awarded on a rolling basis and candidates are encouraged to apply early. To learn more about our research visit https://ai.facebook.com/.  Perform research to advance the science and technology of intelligent machines. Develop novel and accurate NLP algorithms and systems, leveraging deep learning and machine learning on big data resources. Contribute research that can be applied to Facebook product development. Analyze and improve efficiency, scalability, and stability of various deployed systems.  Currently has, or is in the process of obtaining a PhD degree. Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment. experience in PyTorch, Python or C/C++. Research and/or work experience in machine learning, deep learning, and/or Natural Language Processing.  Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com."
BCL Technologies,Natural Language Processing Engineer,"Job Description We are looking for an enthusiastic, creative, and skilled Computational Linguist/NLP software engineer to develop software in IR-related technology. In this role you will write programs, for example, to extract named entities – date-value triples from well formed written English text. You should have very strong programming skills (C/C++, C#, and/or Java) with knowledge of relevant linguistic theories and familiarity with current state-of-the-art tools. Desired experience and qualifications Four-year college degree or equivalent, preferably in Computer Science or Computer Engineering. Must be able to write excellent code in C/C++, C#, and/or Java; STL, ASP.NET, Windows API, .NET framework, COM, Design Pattern, and Algorithm. 3 years+ programming experience. Experience in building production quality software, and understanding of full cycle. Deep knowledge of Windows Operating system and its applications. XML and HTML experience will be a plus. Excellent English verbal and written communication skills. Attention to detail is extremely important."
